TIME,RPM,SPEED,COOLANT_TEMP,INTAKE_TEMP,MAF,THROTTLE_POS,ENGINE_LOAD,FRATE,AMBIANT
2.02E+13,3599,80,83,27,36.26,30,25,7.2,29
2.02E+13,3599,80,83,27,36.26,30,25,7.9,28
2.02E+13,3584,80,83,27,36.12,30,25,7.3,30
2.02E+13,3588,80,83,27,36.26,30,25,7.6,29
2.02E+13,3588,80,83,27,36.26,30,25,7.4,30
2.02E+13,3587,80,83,27,36.47,30,25,7.5,29
2.02E+13,3588,80,83,27,36.12,30,25,7,31
2.02E+13,3588,80,84,27,36.12,30,25,7.3,29
2.02E+13,3577,80,84,27,35.98,30,26,8,30
2.02E+13,3572,80,84,27,37.45,30,26,7.1,29
2.02E+13,3572,80,84,27,37.45,30,26,6.3,28
2.02E+13,3569,80,84,27,37.45,30,26,6.6,29
2.02E+13,3562,80,84,27,37.24,30,26,8,31
2.02E+13,3562,80,84,27,37.24,30,26,7.3,30
2.02E+13,3545,80,84,27,37.45,30,26,7.3,28
2.02E+13,3544,80,84,27,35.91,30,25,7.1,29
2.02E+13,3544,80,83,27,35.91,30,25,6.2,31
2.02E+13,3540,80,84,27,35.56,30,25,7.6,28
2.02E+13,3532,79,84,27,36.12,30,25,6,28
2.02E+13,3532,79,84,27,36.12,30,26,6.6,28
2.02E+13,3537,79,83,27,36.54,31,26,6.4,28
2.02E+13,3541,79,83,27,37.1,31,26,6.4,28
2.02E+13,3541,79,83,27,37.1,31,26,6.7,29
2.02E+13,3541,79,84,27,38.15,31,26,6.1,31
2.02E+13,3545,80,84,27,37.59,31,26,6,30
2.02E+13,3545,79,83,27,37.59,31,27,6.1,31
2.02E+13,3553,79,83,27,38.29,31,27,6.3,30
2.02E+13,3561,80,83,27,48.58,31,28,7.5,30
2.02E+13,3561,80,83,27,48.58,33,36,7.5,28
2.02E+13,3582,80,83,27,54.81,35,36,7.2,31
2.02E+13,3618,80,83,26,54.81,35,40,6.3,31
2.02E+13,3618,81,83,26,59.08,36,40,7.2,29
2.02E+13,3653,81,83,25,43.4,31,40,7.9,30
2.02E+13,3644,81,83,25,43.4,31,25,6,30
2.02E+13,3644,81,83,25,34.16,29,24,6.2,31
2.02E+13,3630,81,83,26,34.79,29,24,6,30
2.02E+13,3628,81,83,27,34.16,29,23,6.3,31
2.02E+13,3628,81,83,27,34.16,29,24,8,30
2.02E+13,3630,81,84,27,33.74,29,24,7.6,28
2.02E+13,3626,81,84,27,34.16,29,23,7.8,30
2.02E+13,3626,81,84,27,34.16,29,23,7.8,29
2.02E+13,3643,81,84,27,34.16,29,23,6.7,30
2.02E+13,3646,81,84,28,34.37,29,23,7.1,29
2.02E+13,3646,81,84,28,34.37,29,24,6.5,28
